"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 18 08:00:39 GMT 2025","Fri Apr 18 08:00:50 GMT 2025","11512","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Fri Apr 18 08:00:28 GMT 2025","Fri Apr 18 08:00:29 GMT 2025","827","tests","test_auth_cookies","","","","Авторизация на странице the-internet.herokuapp.com","
    Цель: Авторизация и сохранение cookies в файл

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Проверить, что доступны поля авторизации
        3. Ввести данные в поле ""Username""
        4. Ввести данные в поле ""Password""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что авторизация прошла успешно
        7. Сохранить cookies в файл
        8. Кликнуть кнопку ""Logout""
        9. Проверить, что доступны поля авторизации
        10. Проверить, что файл с cookies создан

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Файл с cookies создан"
"passed","Fri Apr 18 08:00:34 GMT 2025","Fri Apr 18 08:00:39 GMT 2025","4554","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить отправку пустой формы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Кликнуть поле ввода ""Username""
        3. Кликнуть поле ввода ""Password""
        4. Кликнуть поле ввода ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить сообщение с ошибкой незаполненного поля ""Username""
        7. Проверить сообщение с ошибкой незаполненного поля ""Password""
        8. Проверить цвет описания поля ""Username *""
        9. Проверить, что кнопка ""Login"" не активна

    Ожидаемый результат:
        - Ошибки валидации отображаются для незаполненных полей
        - Кнопка ""Login"" не активна"
"passed","Fri Apr 18 08:00:39 GMT 2025","Fri Apr 18 08:00:46 GMT 2025","7145","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение о ошибке авторизации

    Ожидаемый результат:
        - Отображается сообщение об ошибке"
"passed","Fri Apr 18 08:05:46 GMT 2025","Fri Apr 18 08:05:56 GMT 2025","10504","tests","test_tabs","","","","Переход по ссылке на новую вкладку","
    Цель: Проверить переход по открытые вкладки

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Переключиться на iframe
        3. Нажать на ссылку
        4. Проверить, что новая вкладка открылась
        5. Перейти на новую вкладку
        6. Нажать на ссылку
        7. Проверить, что новая вкладка открылась

    Ожидаемый результат:
        - После двух нажатий на ссылку открыто три вкладки"
"passed","Fri Apr 18 08:00:50 GMT 2025","Fri Apr 18 08:00:52 GMT 2025","2616","tests","test_menu_when_scrolling","","","","Проверка поведения основного меню","
    Цель: Проверка поведения основного меню в шапке при скроллинге

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Прокрутить страницу до блока ""Footer""
        3. Проверить, что основные пункты меню отображаются и кликабельны

    Ожидаемый результат:
        - Все основные пункты меню отображаются и кликабельны"
"passed","Fri Apr 18 08:00:28 GMT 2025","Fri Apr 18 08:00:36 GMT 2025","7142","tests","test_drag_and_drop","","","","Перемещение элемента на странице","
    Цель: Проверить работу перемещения элемента

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Проверить текст принимающего элемента до перемещения
        3. Переместить элемент в принимающий
        4. Проверить текст принимающего элемента после перемещения

    Ожидаемый результат:
        - После успешного перемещения текст в принимающем элементе изменился"
"passed","Fri Apr 18 08:00:47 GMT 2025","Fri Apr 18 08:00:49 GMT 2025","2299","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Fri Apr 18 08:00:40 GMT 2025","Fri Apr 18 08:00:43 GMT 2025","2379","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"skipped","Fri Apr 18 08:00:28 GMT 2025","Fri Apr 18 08:00:41 GMT 2025","12908","tests","test_failure_screenshot","","","","Авторизация на странице Login Page","
    Цель: Проверить обработку упавших тестов

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение об успешной авторизации

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Отображается сообщение об успешной авторизации"
